base_decision,base_overall_expected,base_overall_lower,candidate_json,candidate_name,changed_rows,classification_expected,classification_lower,classification_upper,cross_quadrant_changes,decision,description_expected,description_issue_count,description_lower,description_upper,overall_expected,overall_lower,overall_upper,safety_issue_codes,safety_passed,same_quadrant_changes,top_emotion,top_emotion_share,vulca_baseline_mean_risk,vulca_baseline_total_issues,vulca_candidate_mean_risk,vulca_candidate_total_issues,vulca_description_delta
recommend_submit,0.8364085,0.8334085,submissions/track2_submission_v15_desc_expand300_candidate.json,v15_desc_expand300,0,0.72315,0.72315,0.73515,0,recommend_submit,0.9566545000000001,0,0.94855825,0.9701126250000001,0.83990225,0.835854125,0.8526313125,,True,0,calm,0.49,0.02525,62,0.0158,39,0.0069875
recommend_hold,0.8373335,0.7778335000000001,submissions/track2_submission_v21_calmshift90_candidate.json,v21_calmshift90,90,0.725,0.612,0.85,0,recommend_hold,0.9566545000000001,0,0.94855825,0.9701126250000001,0.84082725,0.7802791250000001,0.9100563125000001,,True,90,calm,0.58,0.02525,62,0.0158,39,0.0069875
recommend_hold,0.8089085,0.6992435,submissions/track2_submission_v21_precision80_candidate.json,v21_precision80,68,0.6681499999999999,0.4548499999999999,0.8934499999999999,12,recommend_hold,0.9566545000000001,1,0.9485282500000001,0.9701126250000001,0.81240225,0.701689125,0.9317813125,,True,56,calm,0.533,0.02525,62,0.0158,39,0.0069875
recommend_hold,0.8089085,0.6493384999999999,submissions/track2_submission_v21_champion120_candidate.json,v21_champion120,89,0.6681499999999999,0.3550999999999999,0.9931999999999999,18,recommend_hold,0.9477745000000001,3,0.9416845,0.96672075,0.80796225,0.64839225,0.9799603749999999,,True,71,calm,0.553,0.02525,62,0.0174,41,-0.0018924999999999992
recommend_hold,0.8089085,0.6377134999999999,submissions/track2_submission_v21_lastshot160_candidate.json,v21_lastshot160,104,0.6681499999999999,0.3318499999999999,1.0,18,recommend_hold,0.9477745000000001,3,0.9416845,0.96672075,0.80796225,0.63676725,0.983360375,,True,86,calm,0.568,0.02525,62,0.0174,41,-0.0018924999999999992
