candidate_name,json_path,calibration_kind,overall_expected,classification_expected,description_expected,overall_visible,visible_bucket,anchor_submission_id,label_changes_vs_anchor,text_changed_rows_vs_anchor,transition_counts,warnings,notes
v22_calmshiftall,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshiftall_candidate.json,estimated,0.848163,0.746659,0.949667,0.85,0.85,779605,177,0,content->calm:177,not_hidden_label_reconstruction,Estimated from existing v22 candidate report projection.
v22_calmshift150,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift150_candidate.json,estimated,0.847352,0.745038,0.949667,0.85,0.85,779605,150,0,content->calm:150,not_hidden_label_reconstruction,Estimated from existing v22 candidate report projection.
v22_calmshift120,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift120_candidate.json,estimated,0.846335,0.743002,0.949667,0.85,0.85,779605,120,0,content->calm:120,not_hidden_label_reconstruction,Estimated from existing v22 candidate report projection.
official_785979_v21_calmshift90,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_calmshift90_candidate.json,exact_official,0.842559,0.740034,0.945083,0.84,0.84,785979,90,81,content->calm:90,,Exact official final-shot probe score from project ledger.
official_779605_moe_v2_anchor,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_moe_v2_accept5_candidate.json,exact_official,0.836408,0.72315,0.949667,0.84,0.84,779605,0,0,,,Exact Codabench score captured from project ledger.
official_782683_v12_stable_probe,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_stable_probe_candidate.json,visible_official,0.835833,0.721667,0.95,0.84,0.84,782683,0,12,,exact_unavailable_visible_leaderboard_only,Only rounded leaderboard score is visible; detailed components are rounded leaderboard fields.
official_781601_v3_mid,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v3_mid_gemini35_desc_192_candidate.json,exact_official,0.834027,0.719137,0.948917,0.83,0.83,781601,85,39,aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,,Exact Codabench score captured after the mixed same-quadrant probe.
