source_type,participant,date,submission_id,file_name,local_package,local_fid_like,official_overall,official_fid,official_fid_score,official_aas,content_alignment,style_alignment,attribute_alignment,notes
public_leaderboard,emosuis,,top_visible_1,,,,0.80,66.36,0.60,0.99,0.99,0.99,1.00,Visible Track1 leaderboard context from Codabench snapshot.
public_leaderboard,trybest-1,,top_visible_2,,,,0.80,66.84,0.60,0.99,0.99,1.00,1.00,Visible Track1 leaderboard context from Codabench snapshot.
public_leaderboard,edaich,2026-05-19 09:55,740721,,,,0.77,78.59,0.56,0.99,0.98,0.99,0.99,Visible Track1 leaderboard context from Codabench snapshot.
public_leaderboard,VIRLab,,top_visible_4,,,,0.77,80.72,0.55,0.99,0.98,0.99,0.99,Visible Track1 leaderboard context from Codabench snapshot.
public_leaderboard,Latent Feeling,,top_visible_5,,,,0.77,85.42,0.54,0.99,0.99,1.00,1.00,Visible Track1 leaderboard context from Codabench snapshot.
own_submission,vulcaart,2026-06-06 15:34,782831,track1_submit_v3_gate7_20260606.zip,v3_gate7,63.010429,0.77,80.92,0.55,0.98,0.98,0.98,0.98,Our only Track1 component-score anchor with local fid_like from fid_sanity_smoke2048_dim512.
own_submission,vulcaart,2026-06-07 15:42,784403,hybrid_probe_redteam_fid_pass4.zip,hybrid_redteam_fid_pass4,58.348904,0.74,105.66,0.49,0.99,0.99,0.99,0.99,Official probe result: AAS improved but FID worsened; package lineage was 996 old current images plus 4 full1000 replacements, exposing anti-correlation between local fid_like and official FID for this base.
public_leaderboard,EmoVCC,2026-05-21 01:10,744030,,,,0.66,130.53,0.43,0.89,0.87,0.92,0.88,Older public Codabench crawl row used to widen FID-score fit range.
